,평점,일시,감상평
219,10,2012.04.01 20:02,장 르노 진짜 상남자임
220,10,2012.03.22 23:49,굿
221,8,2012.02.18 13:51,킬링타임용으로 딱인영화.. 아무 생각 필요없이 걍 보면 됨..
222,10,2012.01.13 09:55,괴수영화의 대표작~오락성 하나는 충분하다!
223,10,2011.12.12 11:37,이것이 진리
224,10,2011.09.22 22:08,이거 원래 일본영화였음?
225,8,2011.08.29 21:51,무난합니다ㅋ
226,10,2011.07.07 20:48,ㅋㅋ 개재밌
227,10,2011.06.08 18:06,좋아하는영화예요 ㅋㅋㅋ
228,9,2011.05.29 16:15,학창시절에 정말 재미있게 봤던 영화.. 지금봐도 손색이 없음~!!
229,10,2011.05.07 20:32,블루레이도 샀어요. ㅋ
230,10,2011.03.01 16:09,정말로 환상적이게 잼있어요 100인치스크린으로보세용 강추 ㄷㄷ
231,9,2011.02.23 14:46,그시절나는정말재미있게봤는데 전문가들은왜이렇게혹평이지..
232,8,2011.01.27 22:11,"괴수물의 상상력과 액션, 지금봐도 후회없을 고질라의 괴성"
233,10,2011.01.20 22:42,제대로 감상했습니다. 아주 좋습니다.
234,10,2011.01.10 10:33,오랜만에 봐도 진리
235,10,2011.01.05 20:06,괴수영화 하면 이거다.
236,9,2010.12.30 09:49,나름 괜찮았음.
237,8,2010.11.30 06:02,드래곤힐스파에서 봤다 ㅋㅋㅋㅋㅋ괜찮은 영화였다 ㅋ
238,10,2010.11.20 17:49,이런 영화좋음
239,10,2010.10.06 07:07,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 고질라 내가 매일 집에서 저녁 쳐먹고 매일 쳐 보는 영화
240,10,2010.08.17 23:23,와우 이 영화는 현재 제가 제일 좋아하는 괴수입니다 일본고질라 후졌음
241,8,2010.08.13 20:29,어릴때.. 정말 감동받았던 고질라 ㅎ ㅎ
242,9,2010.08.13 01:37,괴수 영화의 표본........몇번을 봤는지 모르겠다............
243,10,2010.08.07 22:49,좋아요.
244,7,2010.08.07 22:48,기대보다 실망이 컸던 영화
245,8,2010.08.06 13:11,괜찮은 괴수 영화
246,10,2010.07.27 12:35,진짜 진짜 재밌게 본 괴수영화 괴수영화중 당연 최고!!!
247,10,2010.05.12 21:50,"헐.,.."
248,7,2010.04.30 00:42,킬링타임용 괴수영화!
249,8,2010.04.03 22:26,후속 애니메이션 '고질라 : 더 시리즈'까지 보는 재미
250,10,2010.03.15 20:04,괴수영화의 모든걸 갖춘 교과서라고나 할까...당시에 정말 충격적인 비쥬얼이었다.
251,8,2010.02.20 16:13,물고기가 많네요
252,10,2010.02.12 19:12,이거 제가본비에 평점이 좀 약하내요 ㅎ 좀 올리깨요
253,8,2010.02.07 21:07,그저 인간이 최고다.....
254,10,2010.02.03 00:05,롤랜드에머리히! 스케일이 굉장함 롤랜드 영화치곤 스토리도 굿! 138분이 너무 짧음!
255,10,2010.01.26 09:54,오최고에여요
256,8,2010.01.11 12:46,설날특선단골상영영화
257,10,2010.01.07 22:44,머리를 비우고 보면 재밌다
258,10,2010.01.06 21:59,좋은영화다
259,10,2010.01.03 12:16,내가 2번째로 본 영화라 좋은듯
260,9,2009.12.08 14:37,괴수 영화하면 고질라지
261,10,2009.12.05 22:27,이거 볼 때마다 재밌다 ㅎㅎㅎ 대박!
262,10,2009.11.26 22:39,7살떄 처음으로 극장가서 본영화 개재미있게봣음ㅋㅋ
263,7,2009.11.15 16:36,괴물 영화 하면 바로 떠오르는 영화 중 하나가 아닐까?
264,10,2009.11.05 20:56,재밌음
265,9,2009.09.20 13:19,미국애들은 이런영화 참~ 잘만든단 말이야...
266,10,2009.09.15 20:15,지루한 장면이 없어 좋군요 ㅎㅎ
267,10,2009.09.06 13:05,아흐 그냥
268,10,2009.09.03 17:24,고질라 미국꺼해라 걍
269,9,2009.09.01 19:23,용가리보다 100배낫다 괴물 최고영화인데 당시 흥행이 안되서 아쉽네
270,10,2009.08.29 01:52,당시.. 이거 극장가서봤따 !! 매진이였는데.. ㅎㅎ
271,10,2009.08.21 15:36,디워보다 고질라가 100배 더 재밌었다.... 이게 왜 흥행에 실패했을까??
272,10,2009.08.15 13:57,어떻게 디워하고 비교함??
273,10,2009.05.31 13:32,동원참치보고 깜짝놀랐다는...어떻게 고질라가 디워보다 그래픽이 화려함?
274,9,2009.05.02 23:54,덩치에 걸맞는 앙증맞은 이빨크기...
275,10,2009.04.25 20:42,98년 고질라의 CG는 지금의 트랜스포머와 같은 화려한 충격을 줬다.!!!
276,10,2009.04.20 08:02,디워랑고질라랑사지까는영화가 나왔으면
277,10,2009.03.29 20:06,일본것보다 낫다 개공감
278,10,2009.03.16 10:30,재미 있네요.
279,10,2009.02.24 10:32,그래도 일본판 보다는 나은데........
280,8,2009.02.23 13:40,이 영화사는 정말 예고편은 잘 만든다. 그런대 영화가 좀 부족해...
281,10,2009.02.20 10:09,재미있습니다. 이렇게 큰 파충류는 처음입니다.
282,10,2009.02.10 02:42,예전에 재밌게봤었음
283,8,2009.02.03 13:40,마지막에 그 알은 어케 되지?? 쨋든 쪼메 잼따.
284,10,2008.12.27 18:20,정말 재밌는영화..;; 완전 재밌던데;;?? 옛날영화같지 않은..;
285,10,2008.11.26 22:04,킬링타임용으론딱이다! 디워보다 재미는풍부한거같은데
286,7,2008.11.02 11:00,솔직히 말하자면 10년전 괴물 디워보다 재밌지 아니한가?
287,10,2008.09.12 18:05,난 아주 아주 재밌게 봤는데!^^
288,8,2008.08.30 14:24,웬만하면 다시는 리메이크 하지마라
289,9,2008.08.23 20:54,솔직히 재밌었다
290,10,2008.08.23 20:19,고질라 알 태어날때 쩐다
291,10,2008.08.23 19:23,재밌다~~~~~~ ㅎㅎ
292,10,2008.08.21 18:17,솔직히 디워보다는 재밌다..
293,10,2008.07.04 23:20,재밋
294,9,2008.06.23 20:26,일본것보단 낫다.(디워보다도)
295,7,2008.06.06 16:02,"그럭저럭 볼만하다, 쥬라기공원도 좀 따라하고 그랬네"
296,10,2008.06.04 01:21,재미있고 편하고 시원한 영화이다 많이 나왔으면 좋겠다.
297,10,2008.05.12 15:23,디워를 보고 봐서인지 존.나 잼있다.ㅋㅋ
298,10,2008.04.25 22:59,역시 헐리우드
299,10,2008.04.20 14:19,좋아!
300,10,2008.03.16 20:59,"""오락영화""라는 장르를 제대로 보여준 영화"
301,8,2008.03.14 00:17,대단한 고질라.... 이런류의 CG괴물 나오는영화 정말 굳 ㅋ
302,8,2008.03.07 17:14,10년전 영화지만 지금도 따라올영화가 없는 최고의 괴수영화
303,10,2008.02.19 00:35,cg좋고 스토리 디워에 비하면 초대작급 -_- 10년 뒤에나온 디워 안습
304,10,2008.02.13 14:28,맞아요.
305,10,2008.02.08 14:42,괴물 디워 쨉이안된다 이개 훨낳다
306,8,2008.02.04 21:50,괴물영화중 제일 재밌네
307,8,2008.02.03 16:44,흥행에 참패할 정도는 아니었는데... 괴수 영화로 기본기는 충분했다
308,10,2008.01.30 19:23,정말 별100개 주고도 않아깝다.
309,10,2008.01.30 12:41,너무 잼게 봣다
310,10,2008.01.27 12:17,디워보다 잼다
311,10,2008.01.26 14:07,최고의 괴수영화
312,10,2008.01.24 21:20,여전히 기억에 남는 괴수영화
313,10,2008.01.23 21:21,이상한 일본 고질라보다 훨씬 좋네 ㅎ
314,10,2008.01.21 10:06,역시 괴수영화는 달라~
315,10,2008.01.05 01:28,고질라의 고향을 미국으로 옴긴 영화.
316,8,2007.11.14 01:33,꽤 볼만했다 괴수가 커서 볼거리는 있었던듯..
317,10,2007.10.31 20:34,처음 봤을 때에는 정말 돋보였던 금문교 드라이브 액션
318,7,2007.10.28 02:18,나름대로 괜찮은 괴수 영화다. 후반에는 대충 봤지만.. 뭔가 아쉽다.
319,7,2007.10.24 05:55,"과학,비과학 할필요 없다 ... 이런건 그냥 보는거다."
320,10,2007.10.13 18:17,옛날에 온가족이랑 본기억이 ㅎㅎ
321,10,2007.10.03 10:32,일본거보다 5배낫다
322,10,2007.10.01 22:31,재밌게봤는데~?
323,10,2007.09.29 23:35,이 영화.. 아 .;; 머라 표현을 못할만큼 재밌음 ㅋㅋ.
324,10,2007.09.23 14:08,난재밌는데?!ㅎㅎㅎㅎㅎㅎ
325,10,2007.09.19 17:31,역시 괴수영화의 진정한 명작...
326,10,2007.09.08 20:37,괸찮은 영홥니다...초딩때 이영화 꽤나 흥미있게 봤다는...
327,7,2007.09.08 16:48,새끼 고질라들이 엄마 고질라보다 더 강한면모를 보여준거 같다.
328,7,2007.08.26 14:12,당시엔 괜찮았다. 괴수영화의 한획을 그은 작품.
329,10,2007.08.25 22:26,2번 정도 봤는데 계속 넘치는 스릴감???
330,10,2007.08.15 15:54,그러게요..디워 재미없게보면 대한사람이 아니다? 도대체 이게 무슨논리지?
331,10,2007.08.15 12:29,밑에 분 . 디워 재미없으면 다 양키 입니까 ?
332,10,2007.08.11 21:22,정말 디워보다 훨씬 잼있네 디워.. OOO기.ㅎㅎ
333,7,2007.08.11 15:52,그럭 저럭...
334,10,2007.08.08 15:15,난 고질라 재밋었는데 최고 ㅋ
335,10,2007.08.08 15:01,몇년만에 다시봐도 정말 최고의 영화~!
336,10,2007.08.07 22:30,재밌거든요 저 이거 20번 넘게 봤거든요
337,10,2007.08.06 14:46,이게 디워보다 훨씬 재밌었음
338,9,2007.08.02 20:15,사이즈가 정말 문제가 되지 않는다 재미있는 작품
339,10,2007.08.02 12:35,"동원참치가나와서좋았던영화..고질라는끈질겼지만,나름대로의블록버스터"
340,10,2007.08.02 08:27,동원참치때문에
341,10,2007.07.29 12:22,이 정도면 지금봐도 정말 잘만들었다. 괜히 시비거는 넘들....
342,10,2007.07.28 04:40,98년때 정말 몰입해서 재밌게 봤다.. 왜 참패한걸까??
343,10,2007.07.24 22:23,이게 먼저 나와 용가리를 재미 없게 만든 영화
344,10,2007.07.21 15:12,"이 당시를 생각하고 평점줘라, 영구와 공룡쭈쭈 나오던 시절이다."
345,10,2007.07.18 02:03,지금개봉해도1위석권이다 정말잘만들었다
346,10,2007.07.16 20:08,평점 낮네? 재밌었는데.. 끈질긴고질라.. ㅋㅋ
347,7,2007.07.15 09:34,크기에만 치중한 어설픈 괴수물
348,10,2007.07.09 10:38,대단하다.
349,9,2007.07.02 23:08,괴수영화 정말 좋아하는데..지금봐도 CG는 괜찮다. 속편이 나오길.!!
350,10,2007.06.23 12:25,그냥 동원참치이~~~~~~~~~~
351,8,2007.06.19 04:14,오락영화로 볼만한 영화
352,10,2007.06.17 05:37,공룡이 등장해 유치해질수도 있지만 전혀 그렇지 않은 영화 !!!
353,8,2007.06.05 20:01,좋았음
354,8,2007.04.12 23:36,어릴적 본 영화인데 cgv에서 해서 다시봤는데 역시 괜찮은 영화
355,10,2007.04.02 19:29,동원참치 아리랑 때문에 10점
356,9,2007.03.20 21:47,어렸을 때 참 재밌게 본 기억이 ㅎㅎ
357,8,2007.03.10 08:20,그냥 오락영화로 보기엔 괜찮은 영화
358,10,2007.03.07 14:36,아..... 쥬라기공원이후로 막 두근거렸다는~ ㅋㅋ
359,10,2007.02.28 00:02,동원 참치때문에 점수 1점 더줬습니다.
360,10,2007.02.21 20:12,그래도 상당히 재밌었는데 평점이 왜 이러지
361,10,2007.02.20 22:10,동원참치 때문에 10점
362,10,2007.02.08 01:56,진짜 제 말 믿으세요! 정말 재밌습니다!
363,10,2007.01.30 02:34,재미엇음 ㅜㅜㅜ 특수효과 은근히 잘 만들엇구
364,9,2007.01.29 22:58,처음부터 본 적 없지만 나름 재밌게 본 영화.
365,7,2007.01.22 15:23,★재미도 있고 특수효과도 화려하다. 과소평가 받는게 아쉽다
366,10,2007.01.16 10:02,일본꺼보단 열라잘만듬
367,10,2006.12.26 03:08,일본영화 원작보단 낫더라 -_-
368,10,2006.12.24 00:49,5살때 수백번도 빌려서 보았던 영화
369,10,2006.11.23 22:00,스릴잇고 재밌다.. 고질라 모양이 독특하고 ㅋㅋㅋㅋ
370,10,2006.11.09 23:33,동원참치 때문에 10
371,8,2006.11.06 19:49,극장에선 돈아깝다해도.. 티비로 참 재밌게봤는데^^;;
372,8,2006.11.03 07:57,그런대로 볼만하다
373,9,2006.10.26 16:54,속편이 나온다면 흥미진진하겠다
374,10,2006.10.17 17:16,역시 봐도 잼나는군 동원참치 나온게 인상적이다...ㄱ-
375,10,2006.10.17 14:29,정말 어렸을적 너무도 재미있게 봤던 영화
376,8,2006.10.06 01:35,B급 괴물 영화의 답습. 한걸음 더 나아갈 수도 있지 않았을까?
377,8,2006.10.01 10:38,SF의 정석...
378,8,2006.09.30 16:06,글쎄? 어린나이에 이만큼 신선한 재미를 준 영화는 드물었는데?
379,10,2006.09.09 22:26,돈을 무지막지하게 쏟은 흔적이.. 안습
380,10,2006.08.30 23:27,아 재미있기만하면돼지뭘 = _= 그당시 진짜.. 엄청난스케일 ;;
381,9,2006.08.24 12:29,고질러
382,7,2006.08.20 22:38,반전이 너무 뻔하다는
383,10,2006.08.15 02:11,괴수영화중 가장 좋아하는 영화
384,8,2006.08.13 15:26,고질라 새끼가 더 무섭다
385,7,2006.08.11 16:08,거대 괴물 나오는 영화치고는 재밌다.
386,10,2006.07.30 22:56,킬링타임용으로 괜찮음 지금봐도 몇부분 빼곤 그래픽  괜찮음
387,7,2006.07.29 13:37,동원 참치 나온거 보셧나요?ㅋㅋ
388,10,2006.07.27 21:56,소름돋았다.
389,10,2006.07.24 18:19,나름대로 재미있었음 ㅋㅋ
390,8,2006.07.24 01:46,나름대로 재밌었던 영화
391,7,2006.07.23 15:02,2는 안나오나?
392,10,2006.07.21 22:39,재밌다.ㅋㅋㅋ
393,8,2006.07.11 20:34,OCN에서 해주고 또 해주고..볼 때마다 재밌다^^
394,8,2006.07.05 11:35,쥬라기 공원하고 비슷함.. 고로 재밋다.
395,9,2006.07.04 22:57,괜찮았는데.. 평점들이 왜이러지;;
396,10,2006.06.27 23:41,시시한 것을 재밌게 볼 수 있는 사람에게만 권함
397,8,2006.06.18 16:15,제일마지막에 수많은 새끼들이 가장 인상깊었다..
398,10,2006.06.13 19:43,이런괴물나오는 SF물로는 쥬라기공원다음으로 최고!!!
399,8,2006.06.11 21:40,괜찮던데~?
400,10,2006.05.28 23:56,볼거리는 충분
401,10,2006.05.28 09:53,너무나도 감동적~~☆!
402,7,2006.05.27 15:50,완전 유치할뻔한 영화였지만 나름대로 괜찮았다.
403,10,2006.05.25 17:22,정말 최고였음!!!
404,10,2006.05.17 19:49,너무잼있었음..  그런데마지막에 그택시무적인가;;;;
405,10,2006.05.15 12:51,쪽바리꺼보단 100배재밌음
406,10,2006.05.14 11:59,최고였음
407,10,2006.05.03 20:19,일본보다 훨 낫다. 꽤 재밌음
408,10,2006.05.03 17:02,잼던데;; 점수가 왜이러지;;
409,10,2006.04.28 21:42,점수가 왜 이런지 모르겠다.
410,8,2006.04.16 00:27,몇장면만 잘표현했으면 더 좋았을텐데...
411,7,2006.03.23 17:10,킬킬 동원참치!
412,8,2006.02.25 22:23,이정도면 킬링타임용 영화로 훌륭하지~
413,10,2006.02.24 15:09,감독판이궁금함
414,8,2006.02.21 18:37,난 스릴러가 좋다. 근데 이거 OCN에서 너무 많이 틀어준다.
415,10,2006.02.20 13:09,동원참치의 힘.
416,7,2006.02.18 22:29,그냥 그럭저럭...
417,10,2006.02.16 01:14,한핏줄 영화들이 정말 압박이다 ㅋㅋㅋㅋㅋㅋ
418,10,2006.02.04 09:32,재밌는건 재밌는거다 눈만 높아져서는 쯔쯧
419,7,2006.01.31 13:27,나름대로 색다른 맛이 있다는 것은 부인할 수 없다.
420,9,2006.01.31 00:34,다들 솔직해지라고 재밌게 봤잖아? 장르노가 멋있더라 ㅋ
421,7,2006.01.17 10:56,그럭저럭 볼만하네
422,7,2006.01.14 23:06,특수효과만 봣다
423,7,2006.01.03 01:39,어렸을 적에는 진짜 스릴있게 봤는데..
424,9,2005.12.25 07:23,극장에서 보고 후회 안했다
425,10,2005.12.04 10:25,엄청나게 잼있었는데
426,7,2005.10.22 12:01,끝만 빼고 상당히 재밌었는데
427,10,2005.10.16 18:49,재미만있더만?
428,10,2005.10.06 17:22,매튜 브로데릭 때문에 보는 영화..
429,7,2005.09.28 20:31,그럭저럭 괜찮았음.
430,10,2005.09.06 17:15,대작이다
431,7,2005.09.04 22:18,"호감을 주는 괴수 영화, 내용면이 좀 아쉽지만 그럭저럭 괜찮다."
432,10,2005.09.02 17:41,재밌기만 하더라..
433,9,2005.08.18 06:52,난 박진감 있고 재미있던데 ^^;;
434,7,2005.08.14 10:41,D-war가 기다려지는군..
435,7,2005.07.24 13:54,재밌구만왜이리평점이낫지?감동도찔끔시체처리는어떻게했을까
436,7,2005.07.21 20:08,고질라.. 일단 크고 봐야한다... 아쉬움이 남는영화
437,9,2005.06.09 18:35,재밋던데; 악플다는 인간들은 뭐지 ㅡㅡ;
438,10,2005.04.25 20:04,그래도 솔직히 말해라 ㅋㅋㅋ 용가리보단 낫다
439,7,2005.03.06 17:11,별로 재미도 없고.. 슬픔도 없다
440,8,2005.03.06 13:28,글쎄... 난 재미있게 봤다....;;
441,10,2005.02.25 19:40,난 재미있던데;;
442,8,2005.02.14 16:28,재미는 보통이지만 잘만든 영화
443,10,2004.11.10 18:32,CG는 정말 눈부심... 헬기와 액션씬 죽였고... 내용은 그럭저럭
444,8,2004.10.28 18:35,ㅋㅋ재밌던데 왜들 그러시나
445,10,2004.08.17 23:28,"이영화진짜재밌어요ㅎ  메튜브로데릭 , 진짜멋있어,ㅎ"
446,7,2004.07.01 17:57,괴수는 언제나 매력적이다. 하지만 롤랜드는...
447,10,2004.05.06 09:05,아무 생각없이 보면 재미있는 영화
448,10,2004.01.05 00:00,더이상의 재미는 없다! 현재까지 만들어진 영화 중 재미로는 최고다!
449,6,2020.04.08 05:52,고지라가 아니라 쥬라기공원 티라노사우스 탈출.. 고지라 이름만 갖다쓴 영화
450,2,2020.03.30 15:18,"스토리는 1954년 원작 고지라에 가깝게 해놨는데, 그럼 뭐해 감독이 원작파괴하고 영화 개판만들어놨는데"
451,1,2020.02.24 19:23,고질라 생긴게 왜 저따구냐 고질라에 대한 이해가 없네 그리고 고질라 자식들은 랩터도 아니고 왜 저래? 정말 이딴 여화 평점이 7이라니...
452,10,2020.01.02 21:33,이거 진짜 재밋게 봤는데 아직도 재밋다 근데 평점 왜이럼??
453,10,2019.12.27 14:29,정말90년대를대표하는추억의괴수영화
454,10,2019.08.19 05:53,초등학생 시절에 본 최고의 괴수영화 지금와서봐도 재밌는듯 그당시 비디오가게에 포스터 막붙여져있고 초등학생 시절 이거 봤을때는 강박장애 병이 없었는데 고질라 처음봤을때로 돌아가고싶네요 최고의 괴수영화
455,10,2019.07.29 02:50,2019 일본식 고질라:킹오브더몬스터를 보고 나니 1998 미국식 고질라가 그리워졌다.
456,10,2019.05.03 03:32,이영활 왜 이제야봤는지..98년작인데 너무 잘만든듯..꿀잼..
457,5,2016.09.02 13:50,고군분투하는 고질라가 안쓰러울 지경
458,10,2016.03.13 19:28,평점올리기평점올리기
459,7,2015.08.08 06:18,이야기의 상당부분이 밀폐된 공간 속 여타 괴수물을 연상시키는데 재미와는 별개로 고질라라는 타이틀을 궁색하게 만드는 느낌이다. 일본원작이나 14년작과 비교해 오락성 만큼은 비교할 수 없을만큼 월등하다
460,9,2015.04.21 00:37,초딩때 정말 재밌게봄 cgv에서 해줄때마다 봤었는데
461,6,2014.12.20 21:38,AVGN 명언: 이 새끼는 절대로 고질라가 아닙니다.ㅇㅇ 그렇다. 이건 그냥 고질라라는 트레이드 마크보다는 그냥 거대 방사능 괴수이다. 그래도 스토리는 좋은듯해서.
462,5,2014.07.18 20:05,시시한 블록버스터... 당시 고질라의 마티즈 광고가 멋져
463,10,2014.04.24 17:38,이 영화가 까인 이유는 오로지 하나. 원작파괴 때문이다. 이번에 나올 고질라 리메이크는 원작에 충실했다고 함.
464,9,2014.03.17 19:36,고질라를 보고 깨닳았다 우리는 자연의 섭리를 철저히 무시하고 있다 본래 더 강한 종이 나타나면 본래종은 그자리를 줘야한다 그러나 인간은 다르다 더 강한 종이 나타나면 그 종을 파괴해버린다.. 자연의 섭리를 무시한 인...
465,4,2013.12.15 13:03,헐리우드가 잘못 이식한 거대한 도마뱀.
466,8,2013.05.17 20:58,재미있다.
467,10,2013.04.30 21:29,극장에서 고질라를 처음 봤을 때 입이 다물어지질 않았다   이때 서라운드을 처음 알았는데 뒤에서 헬기 날아오는 소리 아주 실감났다
468,8,2013.04.28 18:08,"사람들이 고지라,고지라 하는 이유를 알았다."
469,6,2013.03.01 21:37,가볍게 즐길 수 있는 90년대 영화
470,6,2013.02.19 08:58,"나라는 거대해야 하고, 장구한 역사가 있어야 하고, 뜨거운 조국애가 있고 등등 거대함에 대한 동경이 괴물까지 이어진다."
471,6,2012.03.16 20:32,에머리히 영화엔 항상 심드렁해질 수 밖에 없다. 요란뻑적지근한 파괴쇼.
472,5,2012.03.09 22:36,스토리에 끼워맞추기가 난감하나 오락영화임을 감안하면 뭐 그럭저럭 나쁘지않음
473,5,2011.05.27 17:40,쥬라기공원과 디워 사이
474,5,2010.07.31 06:18,에머리히 영화엔 항상 심드렁해질 수 밖에 없다. 요란뻑적지근한 파괴쇼.
475,6,2010.05.26 11:23,띠워보다는 좀 났지만 그래도 용호상박에 가깝다
476,6,2005.12.26 18:41,"199년 골든레즈베리상 ""최악의 영화"" 수상작!"
477,2,2019.09.23 22:02,원작 고질라에 대한 모독이다
478,10,2017.03.01 14:49,?? 내눈이잘못된줄 이게왜 7점이에요? 못해도 8점인데;;
479,3,2015.11.18 20:48,1998년 원작 파괴... 고질라 2014 가렛 에드워즈 (감독)가 살려냈다.
480,6,2014.11.27 01:55,사이즈만 큰 쥬라기공원 도시버전
481,8,2019.05.31 15:42,20년이 넘은 지금 충무로에서도 이런 지금 봐도 완벽한 영화 못 만든다.
482,1,2015.07.13 05:13,원작을 대놓고 무시하고 만들거면 차라리 독단적으로 만들지 왜 리메이크를 했을까? 원작에 그나마 충실한걸로 볼려면 2014 고질라 봐라 훨씬 낫다.
483,10,2014.05.18 02:27,이번에 새로나온 고질라 2014보고 다시 1998보는데 훨씬더 1998이 긴장감있고 재밌네요 ^^벌써 16년전영화라니^^
484,1,2014.04.30 17:12,고질라 발만보여주다가 끝난영화
485,1,2010.01.11 17:51,고질라가 몸집이 엄청크고 빠른데 사람이 달리는게 고질라랑 똑같나-- 존내 완전
486,1,2009.12.03 01:20,고질라를 멍청한 괴물로 만든 감독의 저질 연출에 애도를 표한다. 최악의 블록버스터.
487,10,2019.05.27 19:39,고질라 2014 2019 개망작 1998년도꺼보고 배워라
488,1,2014.11.09 13:23,감독한테 말한다 원작은 보고 만들었는가?
489,1,2014.05.19 22:04,NC의 리뷰를 봣다면 이 영화가 얼마나 어이없는영화인지 알거입니다
490,1,2009.06.20 12:59,나는 일본 고지라를 광적으로 좋아합니다.
491,1,2014.02.27 02:17,제임스롤프-제작진은 '고지라'라는 괴수의 네임밸류만 따왔지 그 특성은 완전히 무시했습니다. 게다가 불도 안 뿜더군요. 제작진은 현실적으로 보이게 하려고 그랬다는데 X까는 소리하고 앉았네!스파이더맨을 현...
492,10,2019.01.01 17:53,오드리이OOO련이네
493,7,2018.03.07 22:43,98년에 유치할 것 같아 안 본 영화.  에머리히가 이정도 수준이었군.
494,7,2017.12.05 17:55,어릴때보던영화 신기함
495,7,2017.07.04 16:30,지금봐도 나쁘지 않다.
496,10,2015.10.26 02:39,1에선 바이러스로 디지구 2에선? 액티브x.팝업.렉 으로 디지나?
497,9,2015.08.29 13:59,꽤 재밌게 봤음. 여주가 이쁘던데 이거 이후로 활동이 거의 없어 아쉬웠음..
498,10,2015.02.18 21:20,원작을 파괴했니 어쩌니 거품무는 사람 꽤있던데 재밌기만 하구만 ㅎ_ㅎ
499,7,2015.01.21 02:04,당시에 이정도면 괜찮은듯..
500,9,2014.11.12 02:28,충분히 대작이다. . 동원참치캔 나온거보고 깜놀..
501,10,2014.10.24 16:52,지금봐도재미있음 마지막 고질라하고택시추격전은지금봐도최고임
502,8,2014.08.17 12:10,이건 고질라가 아니자나!!그이외에는 상당히 우수한 영화
503,9,2014.08.11 23:54,누가 이걸 15년전 영화라 믿을까? 주인공이 동원 참치캔을 들고 쳐다보는 장면에서 깜놀했던 기억이...
504,10,2014.05.25 20:11,진짜 이번 고질라 티나 근데 이거고질라 보면 기억이 새록새록와 진짜 재미있었는데
505,10,2014.05.19 12:07,8점은 무난히 넘을것 같은데 생각보다 평점이낮네 어렷을때봣던 추억의영화임 미군vs고질라를 잘 표현한것같음 글고 주인공들이 아기고질라들과의 사투씬은 아직도 기억이날정도로 임팩트 잇엇음
506,8,2014.05.19 00:48,98년도 영화라니 믿을 수가 없다.
507,10,2013.12.12 23:44,초딩때본 고질라를 잊을수 없지
508,6,2013.09.15 15:20,냐이거참..왜 봤지..
509,10,2013.08.30 09:11,소름끼치게 재미있다! 근데 7점대 영화는 아니라고 보는데?
510,8,2013.08.16 00:15,평범한 오락영화.스토리가 별로고 좀 유치한감이 있음
511,10,2012.09.15 23:15,어렷을적에 재밌게 본기억이..@_@
512,6,2011.03.17 00:01,생각보다 별루였다.
513,8,2010.01.13 18:22,원조 고질라에 비해 실망했던...
514,10,2009.11.12 14:42,"한국사람들은 이런영화 이해 절대못하지만 난 이해 할 수 있다,"
515,6,2009.09.16 07:20,비추천.
516,4,2008.11.11 18:08,"무뇌의 극치. 롤랜드 에머리히, 정체성을 확립하다."
517,4,2008.04.02 09:36,이러니까 용가리랑 경합이라는 말을듣지
518,6,2008.02.02 09:35,숨겨진 알이 깨어나는 전형적인 헐리우드식 엔딩엔 코웃음이 나옴.
519,6,2007.12.09 17:22,왕건이라고 다 좋은 건 아니랍니다
520,3,2007.11.25 20:39,쉴새 없이 때려 부수는 고질라를 보고 있으니 속은 시원하다.
521,2,2007.11.21 16:33,심형래와 겨룰 수 있을 만한 허접 영화
522,6,2007.11.14 16:42,금문교가 아니라 브루클린현수교 였죠.
523,6,2007.10.12 13:28,왕건이라고 다 좋은게 아니랍니다
524,2,2007.09.24 10:38,디워보다 약간 나은 수준
525,4,2007.09.18 23:07,헐리웃 괴수 영화의 문제점은 번식에 너무 얽매인다는 점.. 지겹다
526,3,2007.08.12 20:52,아래님 무슨말씀을? 디워도 재미 있어요! 대한사람이 아니군요!
527,4,2007.08.07 19:34,디워 보고 이거보니까 이뭐병같다ㅋㅋㅋ
528,6,2007.08.04 03:58,사이즈가 문제가 되지 않는다는 말이 아니라 크기가 정말 중요하다는 말임
529,5,2006.12.29 19:05,크다 근데 그게 다야
530,4,2006.07.29 11:23,이건 뭐.. 재미도 없고..
531,2,2006.07.28 14:30,극장서 본영화중 최악
532,1,2006.02.01 13:10,일본나와서 거지같다
533,4,2005.09.21 14:59,재밌었나?
534,3,2005.08.02 18:18,화면빨에는 만점
535,3,2005.08.01 06:12,화면빨만 있으면 본전은 건진다는 생각에 제동건 영화!!
536,1,2005.07.19 14:39,용가리가 낫다
537,4,2005.05.23 15:05,진짜 보고나서 실망한 영화 재미도 없고 스릴도 없고..-_-
538,4,2005.04.29 01:26,광고문구대로 사이즈로만 컸던...
539,3,2005.03.26 01:29,내용도 목적도 없는 눈요기 영화
540,4,2005.03.05 20:48,돈 찍어바른 영화의 멸망이라는 건가?..
541,3,2005.02.27 16:40,맙소사! 그 형편없는 원작이 위대해 보일정도라니!
542,3,2004.01.15 00:00,내 참 어이가 없는 영화. 아무리 영화라도 그렇지..
543,9,2020.01.15 23:21,최고의 괴수영화 아닌가요? 왜 평점이 7점대인가요 최소 8점은 넘어야죠!!
544,10,2019.12.12 11:09,고질라 영화 중 갑오브 갑
545,10,2019.11.16 09:29,이런 꿀잼영화의 평점이 너무 낮다...
