,평점,일시,감상평
41,10,2018.07.10 19:19,감독이 퇴화하고있다는게 확실히 느껴집니다. 이때는 이렇게나 잘했는디ㅎㅎ
42,10,2013.06.28 21:35,처음보았을때는 재미있었습니다
43,10,2011.06.21 19:21,이거 보고나서 일본 원조 고질라 봤는데 존1나 재미없었음; 이게 더 잼따
44,7,2019.05.12 16:41,고질라 팬들에겐 욕먹지만 사실 일반인들에겐 그럭저럭 괜찮은 영화다
45,8,2018.08.09 03:28,과학적으로 말안되는 요소가 많기는 했는데...그런거 안따지고 보기에는 괴수영화중에 이게 제일 재미있었다.
46,10,2017.08.25 14:40,재미있었음. 2014고질라보고 와 이건 아닌데 싶었음
47,8,2016.12.28 17:51,고질라 팬들이 욕하는 건 이해감 이정도면 원작파괴가 맞으니 하지만 고질라 라는 타이틀을 감안하고 그냥 한편의 괴수 영화로만 본다면 이 영화는 나름 잘 만든 영화가 맞음 더군다나 98년도에 나온 영화이니 베평말대로 지...
48,10,2014.08.28 21:41,혹평도 많지만 어차피 이런영화는 그런 복잡한 설정놀음은 필요없다 거대한 스케일에 재미있으면 끝
49,9,2014.05.19 15:05,어제 티비에서 해주던데요; 옛날영화인데 너무 잘만든영화같아요ㅎㅎ
50,10,2014.02.06 03:17,"난 아직도 이 영화가 [용가리]보다 1년 먼저 나왔다는 사실이 믿기지 않는다. CG와 플롯, 배우들의 연기까지 [용가리]에 비하면 10점 만점을 줘도 아깝지 않을 작품이다."
51,10,2013.02.25 21:45,개인적으로 재미있게 본 영화이다. 특수효과도 좋고. 재작비 많이 든 것이 그리 산으로 간 것은 아닌듯한 괴수영화다.
52,5,2019.05.29 12:25,고질라 원작을 생각하니 얘는 고질라가 아니라 그냥 공룡이었음...원작을 몰랐다면 9점.
53,10,2014.09.17 10:51,고질라 2014 보다가 이거 보니까 정말 꿀잼 잘만든 영화중 하나임 동원참치도 깜짝출연함ㅋㅋㅋㅋ
54,10,2019.09.15 14:16,내 인생영화 고질라 쥬라기 공원 사랑합니다 7점대로 하기엔 너무 아까운 영화에요!!
55,5,2019.05.08 02:36,지금 보니 고질라가 티라노가 됐네 ㅋㅋ
56,10,2019.04.08 17:24,"스토리 전개, 개연성 탄탄, 캐릭터, 대사 재밌음. 오래된 영화인데도 이만한 괴수영화 없지요. 지금봐도 재밌는 영화!!!"
57,9,2017.06.08 13:00,옛날 영화지만 지금 나오는 그래픽 떡칠떡칠한 영화보다 훨씬 재미있다.
58,10,2016.07.29 21:39,팔점은 넘어야지 그래서 십점
59,7,2016.03.19 18:21,고질라 팬들에게는 당황스럽게 보일지 몰라도 괴수에게 동물성을 더욱 추가시킨게 마음에 들었다. 이정도면 괴수영화들중에서는 명작 개인적으로2014년에 리부트 된거보다 재미있었 습니다.
60,7,2015.11.24 02:32,"원작을 못봐서 원작과 비교해서 어떤지는 모르겠다만, 괴수영화로 재밌게 봤다."
61,6,2019.06.15 10:35,"재미는 있었지만 고질라를 공룡으로 만들고, 고질라를 도망만가는 쫄보로 만들고 미사일 몇방맞고 디지는 약골로 만들다니... 너무 고알못이 만듯 영화네요"
62,10,2018.09.05 15:42,평점 조절 위해 10점준다. 이영화가 잘못만든거면 우리나라 영화 95프로는 사라져야함
63,7,2019.09.22 00:25,"돌이켜보자면 이 영화를 겨냥한 과잘알들의 조리돌림도 래즈베리상의 조롱도 다 그럴 만한 이유가 있음을 알 수 있다. 하지만 적어도 원작보다 이 영화를 먼저 접한 입장에서, 원작 팬들의 비판에 부화뇌동해 가며 까내릴 만..."
64,7,2019.05.26 10:32,고질라???  뉴욕판 쥬라기공원 !
65,9,2019.05.03 17:41,솔직히 애국심 팔이 디워 쓰레기 따위에 비하면 개명작 아니냐?
66,10,2019.04.07 22:12,20년 전 영화라고는 믿기질 않을 만큼 잘 만들어진 영화
67,10,2018.11.29 20:14,세상 모든 괴수 영화가 너와 같았다면
68,10,2017.08.28 02:05,솔직히진짜재밌다두시간치곤시간금방간다
69,8,2017.03.10 01:35,감독의 독단과  부족한 연출력 때문에 영화는 망했지만 이 고질라도  충분히 참신하고  멋진 괴수다. 언젠가는 미국산 고질라로  당당히 인정받고 대형 스크린에서 다시 볼 수 있길 바란다.
70,10,2016.03.12 22:53,98년 어릴적 눈 휘등그래 만들어준 영화 비디오가게에 당시1500원주고 최신프로 빌려야했다 그립다 그시절 최고의영화
71,10,2015.01.24 14:41,이거 영화관에서 봤다 작품성이것저것 따지기전에 재밌다  말만 계속 해대서 지루한 그런것 없이 재미요소가 러닝타임 내내 촘촘히 박혀있다.  사진속 한국요소를 찾아보는것도 또다른 재미.
72,9,2014.12.13 17:45,원작파괴지만 1998년에 CG기술이 왜이리 좋음?솔직히 이게 고질라가 아니었으면 전 10점이라도했을거에요.^^
73,9,2014.05.13 00:17,2014년이 되서 이 98년작을 다시봐도 명작 .. 정말명작...지금이랑 비교해 크게 꿀리지 않는 그래픽하며 탄탄한 스토리에 깔끔한 진행...다시봐도 정말 재밌다..!! 2014년 고질라 도 기대한다!!
74,10,2014.02.11 21:38,고질라 1998년 용가리 1999년 퀼리티 싸움도안됨 용가리 멸망시킨 최고의 명작. 당시의 동원참치가 일본어선에서 등장하는데 동원참치 매출 증가 효과를 발휘한 최고의 명작
